Journal title;Journal URL;First calendar year journal provided online Open Access content;Alternative title;Country of publisher;Full text language;Keywords;Journal ISSN (print version);Journal EISSN (online version);Publisher;Society or institution;Platform, host or aggregator;Journal article processing charges (APCs);APC information URL;APC amount;Currency;Journal article submission fee;Submission fee URL;Submission fee amount;Submission fee currency;Journal waiver policy (for developing country authors etc);Waiver policy information URL;Digital archiving policy or program(s);Archiving: national library;Archiving: other;Archiving infomation URL;Journal full-text crawl permission;Permanent article identifiers;Journal provides download statistics;Download statistics information URL;Full text formats;URL for the Editorial Board page;Review process;Review process information URL;URL for journal's aims & scope;URL for journal's instructions for authors;Journal plagiarism screening policy;Plagiarism information URL;Average number of weeks between submission and publication;URL for journal's Open Access statement;Machine-readable CC licensing information embedded or displayed in articles;URL to an example page with embedded licensing information;Journal license;License attributes;URL for license terms;Does this journal allow unrestricted reuse in compliance with BOAI?;Deposit policy directory;Author holds copyright without restrictions;Copyright information URL;Author holds publishing rights without restrictions;Publishing rights information URL;DOAJ Seal;Tick: Accepted after March 2014;Added on Date;Subjects;Number of Article Records;Most Recent Article Added
Psychological Topics;http://www.ffri.hr/psihologija/en/psychological-topics.html;2003;Psihologijske Teme;Croatia;Croatian, English;social psychology, personality, educational psychology, clinical psychology, experimental psychology, emotion;1332-0742;1849-0395;University of Rijeka;University of Rijeka, Faculty of Humanities and Social Sciences, Department of Psychology;University of Rijeka;No;http://www.ffri.hr/psihologija/en/psychological-topics.html;;;;http://www.ffri.hr/psihologija/en/psychological-topics.html;;;;;;;HRCAK platform for all Croatian Open Access journals, managed by the University Computing Centre SRCE;http://hrcak.srce.hr/psihologijske-teme?lang=en;;;;;PDF;http://www.ffri.hr/psihologija/en/psychological-topics/editorial-board.html;Double blind peer review;http://www.ffri.hr/psihologija/en/psychological-topics.html;http://www.ffri.hr/psihologija/en/psychological-topics.html;http://www.ffri.hr/psihologija/en/psychological-topics/author-guidelines.html;;;30;http://www.ffri.hr/psihologija/en/psychological-topics/contents.html;;;CC BY-SA;;http://www.ffri.hr/psihologija/en/psychological-topics/author-guidelines.html;Yes;;False;;False;;No;Yes;2008-09-15T11:37:11Z;Philosophy. Psychology. Religion: Psychology;254;2018-12-21T08:21:09Z
Človek a Spoločnosť;http://www.clovekaspolocnost.sk/en/;1998;Individual and Society;Slovakia;Czech, English, Hungarian, Slovak;sociology, political science, arts, history, psychology;;1335-3608;Centre of Social and Psychological Sciences Slovak Academy of Sciences, Institute of Social Sciences, Košice ;;;No;http://www.clovekaspolocnost.sk/en/;;;;http://www.clovekaspolocnost.sk/en/;;;;;;;;;Yes;;;;PDF;http://www.clovekaspolocnost.sk/en/;Double blind peer review;http://www.clovekaspolocnost.sk/en/pokyny-pre-autorov/;http://www.clovekaspolocnost.sk/en/;http://www.clovekaspolocnost.sk/en/pokyny-pre-autorov/;;;13;http://www.clovekaspolocnost.sk/en/;;;Publisher's own license;Attribution, No Commercial Usage;http://www.clovekaspolocnost.sk/en/;Yes;;False;;False;;No;Yes;2008-01-15T14:45:17Z;Social Sciences: Social sciences (General);0;
Acta Technologica Dubnicae;http://www.degruyter.com/view/j/atd;2011;;Slovakia;English;education, higher education, educational psychology;;1339-4363;Sciendo;Dubnica Institute of Technology in Dubnica nad Váhom, Slovakia;Sciendo;No;http://www.degruyter.com/view/j/atd;;;;http://www.degruyter.com/view/j/atd;;;;;Portico;;;http://www.degruyter.com/page/859;Yes;DOI;;;PDF;http://www.degruyter.com/view/j/atd?tab=editorial_information ;Double blind peer review;http://www.degruyter.com/view/supplement/s13394363_Instruction_for_Authors.pdf;http://www.degruyter.com/view/j/atd;http://www.degruyter.com/view/supplement/s13394363_Instruction_for_Authors.pdf;Yes;http://degruyteropen.com/dgopen-takes-a-further-step-to-ward-off-plagiarism/ ;20;http://degruyteropen.com/you/journal-author/open-access-statement/;Yes;http://www.degruyter.com/view/j/atd.2015.5.issue-1/atd-2015-0029/atd-2015-0029.xml?format=INT;CC BY-NC-ND;;http://www.degruyter.com/view/supplement/s13394363_Open_Access_License.pdf;Yes;Sherpa/Romeo;True;http://www.degruyter.com/view/supplement/s13394363_Open_Access_License.pdf;False;;No;Yes;2015-12-04T19:31:33Z;Education: Special aspects of education;99;2018-08-24T17:58:37Z
Pedagogika;http://www.pedagogika.leu.lt/index.php/Pedagogika;2004;Pedagogy;Lithuania;English, Lithuanian, Russian;teaching, pedagogy, psychology;1392-0340;2029-0551;Lithuanian University of Educational Sciences;;OJS;No;http://www.pedagogika.leu.lt/index.php/Pedagogika/index;;;;http://www.pedagogika.leu.lt/index.php/Pedagogika/index;;;;;;;;;Yes;DOI;;;PDF;http://www.pedagogika.leu.lt/index.php/Pedagogika/about/editorialTeam;Double blind peer review;http://www.pedagogika.leu.lt/index.php/Pedagogika/about/editorialPolicies#sectionPolicies;http://www.pedagogika.leu.lt/index.php/Pedagogika/about/editorialPolicies#sectionPolicies;http://www.pedagogika.leu.lt/index.php/Pedagogika/about/submissions#authorGuidelines;;;12;http://www.pedagogika.leu.lt/index.php/Pedagogika/index;;;CC BY-SA;;http://www.pedagogika.leu.lt/index.php/Pedagogika/index;Yes;;False;;False;;No;Yes;2018-04-07T16:23:33Z;Education | Philosophy. Psychology. Religion: Psychology;0;
Psichologija;http://www.journals.vu.lt/psichologija;2005;Psychology;Lithuania;English, Lithuanian;psychology;1392-0359;2345-0061;Vilnius University Press;;OJS;No;http://www.journals.vu.lt/psichologija/about;;;;http://www.journals.vu.lt/psichologija/about;;;;;;;;;Yes;DOI;Yes;http://www.journals.vu.lt/psichologija/article/view/12329;PDF;http://www.journals.vu.lt/psichologija/about/editorialTeam;Double blind peer review;http://www.journals.vu.lt/psichologija/peerreview;http://www.journals.vu.lt/psichologija/about;http://www.journals.vu.lt/psichologija/about/submissions;Yes;http://www.journals.vu.lt/psichologija/journalpolicy;24;http://www.journals.vu.lt/psichologija/journalpolicy;;;CC BY;;http://www.journals.vu.lt/psichologija/journalpolicy;Yes;;True;http://www.journals.vu.lt/psichologija/journalpolicy;True;http://www.journals.vu.lt/psichologija/journalpolicy;No;Yes;2019-04-04T14:06:02Z;Philosophy. Psychology. Religion: Psychology;672;2019-04-11T17:27:08Z
Pensar en Movimiento: Revista de Ciencias del Ejercicio y la Salud;http://www.revistas.ucr.ac.cr/index.php/pem;2001;;Costa Rica;English, Portuguese, Spanish, Castilian;exercise, health, sports performance, sports psychology, sports medicine;1409-0724;1659-4436;Universidad de Costa Rica;Universidad de Costa Rica;OJS;No;http://www.revistas.ucr.ac.cr/index.php/pem/about/editorialPolicies#custom-1;;;;http://www.revistas.ucr.ac.cr/index.php/pem/about/editorialPolicies#custom-1;;;;;;;;http://www.revistas.ucr.ac.cr/index.php/pem/about/editorialPolicies#openAccessPolicy;Yes;DOI;;;PDF, HTML, XML;http://www.revistas.ucr.ac.cr/index.php/pem/about/editorialTeam;Double blind peer review;http://www.revistas.ucr.ac.cr/index.php/pem/about/editorialPolicies#peerReviewProcess;http://www.revistas.ucr.ac.cr/index.php/pem/index;http://www.revistas.ucr.ac.cr/index.php/pem/about/submissions#authorGuidelines;Yes;http://www.revistas.ucr.ac.cr/index.php/pem/about/editorialPolicies#custom-2;14;http://www.revistas.ucr.ac.cr/index.php/pem/about/editorialPolicies#openAccessPolicy;;;CC BY-NC-SA;;http://www.revistas.ucr.ac.cr/index.php/pem/about/submissions#copyrightNotice;Yes;Sherpa/Romeo;False;;False;;No;Yes;2013-06-14T14:48:35Z;Geography. Anthropology. Recreation: Recreation. Leisure: Sports;124;2016-10-12T21:20:53Z
Psikodimensia: Kajian Ilmiah Psikologi;http://journal.unika.ac.id/index.php/psi;2013;;Indonesia;Indonesian;psychology;1411-6073;2579-6321;Soegijapranata Catholic University;;OJS;No;http://journal.unika.ac.id/index.php/psi/about/submissions#authorFees;;;;http://journal.unika.ac.id/index.php/psi/about/submissions#authorFees;;;;;;;;;Yes;;;;PDF;http://journal.unika.ac.id/index.php/psi/about/editorialTeam;Blind peer review;http://journal.unika.ac.id/index.php/psi/about/editorialPolicies#peerReviewProcess;http://journal.unika.ac.id/index.php/psi/about/editorialPolicies#focusAndScope;http://journal.unika.ac.id/index.php/psi/about/submissions#authorGuidelines;;;24;http://journal.unika.ac.id/index.php/psi/about/editorialPolicies#openAccessPolicy;Yes;http://journal.unika.ac.id/index.php/psi/article/view/902/662;CC BY;;http://journal.unika.ac.id/index.php/psi/about/submissions#copyrightNotice;Yes;;False;;False;;No;Yes;2017-10-20T11:00:57Z;Philosophy. Psychology. Religion: Psychology;80;2019-01-08T07:23:45Z
Doxa;http://seer.fclar.unesp.br/doxa/index;2017;Doxa: Revista Brasileira de Psicologia e Educação;Brazil;Portuguese, Spanish, Castilian;education, higher education, psychology;1413-2060;2594-8385;Universidade Estadual Paulista;Universidade Estadual Paulista, Faculdade de Ciências e Letras de Araraquara;OJS;No;http://seer.fclar.unesp.br/doxa/about/editorialPolicies#openAccessPolicy;;;;http://seer.fclar.unesp.br/doxa/about/editorialPolicies#openAccessPolicy;;;;;;;;;Yes;DOI;;;PDF;http://seer.fclar.unesp.br/doxa/about/editorialTeam;Double blind peer review;http://seer.fclar.unesp.br/doxa/about/editorialPolicies#peerReviewProcess;http://seer.fclar.unesp.br/doxa/about/editorialPolicies#focusAndScope;http://seer.fclar.unesp.br/doxa/about/submissions#authorGuidelines;;;18;http://seer.fclar.unesp.br/doxa/about/editorialPolicies#openAccessPolicy;;;CC BY-NC-SA;;https://periodicos.fclar.unesp.br/doxa/index;Yes;Diadorim;False;;False;;No;Yes;2018-04-21T13:36:31Z;Philosophy. Psychology. Religion: Psychology | Social Sciences;50;2019-01-04T23:38:08Z
Estudos de Psicologia (Natal) ;http://www.scielo.br/scielo.php?script=sci_serial&pid=1413-294X&lng=en&nrm=iso;1997;;Brazil;English, Portuguese, Spanish, Castilian;cognitive psychology, social psychology, educational psychology, industrial psychology;1413-294X;1678-4669;Universidade Federal do Rio Grande do Norte;;SciELO Brazil;No;http://www.scielo.br/revistas/epsic/iinstruc.htm#Formato;;;;http://www.scielo.br/revistas/epsic/iinstruc.htm#Formato;;;;;;;;;Yes;DOI;;;PDF, HTML, ePUB;http://www.scielo.br/revistas/epsic/iedboard.htm;Double blind peer review;http://www.scielo.br/revistas/epsic/iinstruc.htm;http://www.scielo.br/revistas/epsic/iinstruc.htm;http://www.scielo.br/revistas/epsic/iinstruc.htm;;;22;http://www.scielo.br/revistas/epsic/isubscrp.htm;Yes;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-294X2015000400207&lng=en&nrm=iso&tlng=pt;CC BY;;http://www.scielo.br/revistas/epsic/iaboutj.htm;Yes;;False;;False;;No;Yes;2012-05-04T14:03:37Z;Philosophy. Psychology. Religion: Psychology;853;2019-01-11T19:11:45Z
Psicologia em Estudo;http://www.scielo.br/scielo.php/script_sci_serial/pid_1413-7372/lng_en/nrm_iso;2000;;Brazil;English, French, Portuguese, Spanish, Castilian;psychology, social sciences, and Health Sciences, health sciences;1413-7372;1807-0329;Universidade Estadual de Maringá;;SciELO Brazil;No;http://www.scielo.br/revistas/pe/iinstruc.htm;;;;http://www.scielo.br/revistas/pe/iinstruc.htm;;;;;;;;;Yes;DOI;Yes;http://www.scielo.br/statjournal.php?lang=en&issn=1413-7372;PDF, HTML;http://www.scielo.br/revistas/pe/iedboard.htm;Blind peer review;http://www.scielo.br/revistas/pe/iinstruc.htm;http://www.scielo.br/revistas/pe/iinstruc.htm;http://www.scielo.br/revistas/pe/iinstruc.htm;;;28;http://www.scielo.br/revistas/pe/isubscrp.htm;Yes;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722014000400599&lng=en&nrm=iso;CC BY-NC;;http://www.scielo.br/scielo.php/script_sci_serial/pid_1413-7372/lng_en/nrm_iso;Yes;;False;;False;;No;Yes;2004-04-23T21:31:01Z;Philosophy. Psychology. Religion: Psychology;1360;2018-09-13T00:11:33Z
Psico-USF;http://www.scielo.br/scielo.php?script=sci_serial&pid=1413-8271&lng=en&nrm=iso;2001;;Brazil;English, Portuguese, Spanish, Castilian;psychology;1413-8271;;Universidade de São Francisco;;SciELO Brazil;No;http://www.scielo.br/revistas/pusf/iinstruc.htm;;;;http://www.scielo.br/revistas/pusf/iinstruc.htm;;;;;;;;;Yes;DOI;Yes;http://www.scielo.br/statjournal.php?lang=en&issn=1413-8271;PDF, HTML, XML;http://www.scielo.br/revistas/pusf/iedboard.htm;Blind peer review;http://www.scielo.br/revistas/pusf/iinstruc.htm;http://www.scielo.br/revistas/pusf/iinstruc.htm;http://www.scielo.br/revistas/pusf/iinstruc.htm;;;36;http://www.scielo.br/revistas/pusf/iinstruc.htm;Yes;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-82712015000100009&lng=en&nrm=iso&tlng=pt;CC BY;;http://www.scielo.br/scielo.php?script=sci_serial&pid=1413-8271&lng=en&nrm=iso;Yes;;False;;False;;No;Yes;2010-11-12T12:58:30Z;Philosophy. Psychology. Religion: Psychology;435;2015-12-14T06:00:18Z
Psicologia Escolar e Educacional;http://www.scielo.br/scielo.php?script=sci_serial&pid=1413-8557&nrm=iso&rep=&lng=pt;1996;PEE;Brazil;English, Portuguese, Spanish, Castilian;school psychology, educational psychology, education, psychology;1413-8557;2175-3539;Associação Brasileira de Psicologia Escolar e Educacional;ABRAPEE;SciELO Brazil;No;http://www.scielo.br/revistas/pee/pinstruc.htm;;;;http://www.scielo.br/revistas/pee/pinstruc.htm;;;;;;;;http://www.scielo.br/scielo.php?script=sci_serial&pid=1413-8557&nrm=iso&rep=&lng=pt;Yes;DOI;Yes;http://statbiblio.scielo.org//stat_biblio/index.php?no=03.xml&state=03&lang=pt&issn=1413-8557;PDF, HTML;http://www.scielo.br/revistas/pee/iedboard.htm;Blind peer review;http://www.scielo.br/revistas/pee/pinstruc.htm;http://www.scielo.br/revistas/pee/pinstruc.htm;http://www.scielo.br/revistas/pee/pinstruc.htm;;;48;http://www.scielo.br/revistas/pee/psubscrp.htm;Yes;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-85572016000200209&lng=pt&nrm=iso&tlng=pt;CC BY;;http://www.scielo.br/revistas/pee/paboutj.htm;Yes;;False;;False;;No;Yes;2017-06-06T10:43:35Z;Philosophy. Psychology. Religion: Psychology;1156;2019-02-11T11:47:47Z
Psicologia: Ciência e Profissão;http://www.scielo.br/scielo.php?script=sci_serial&pid=1414-9893&lng=en&nrm=iso;1982;;Brazil;English, Portuguese, Spanish, Castilian;psychology, psychology as profession, education, psychoanalysis;1414-9893;1982-3703;Conselho Federal de Psicologia;;SciELO Brazil;No;http://www.scielo.br/revistas/pcp/iinstruc.htm;;;;http://www.scielo.br/revistas/pcp/iinstruc.htm;;;;;;;;;Yes;DOI;Yes;http://www.scielo.br/statjournal.php?lang=en&issn=1414-9893;PDF, HTML, XML;http://www.scielo.br/revistas/pcp/iedboard.htm;Double blind peer review;http://www.scielo.br/revistas/pcp/iinstruc.htm;http://www.scielo.br/revistas/pcp/iinstruc.htm;http://www.scielo.br/revistas/pcp/iinstruc.htm;;;28;http://www.scielo.br/revistas/pcp/isubscrp.htm;Yes;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932015000100096&lng=en&nrm=iso&tlng=pt;CC BY;;http://www.scielo.br/revistas/pcp/iaboutj.htm;Yes;;False;;False;;No;Yes;2012-05-08T10:29:52Z;Philosophy. Psychology. Religion: Psychology;2786;2019-01-11T22:51:53Z
Biolinguistics;http://www.biolinguistics.eu/;2007;;Cyprus;English;theoretical linguistics, language acquisition, theoretical biology, genetics, cognitive psychology;;1450-3417;Biolinguistics;;;No;http://www.biolinguistics.eu/index.php/biolinguistics/about/editorialPolicies#openAccessPolicy;;;;http://www.biolinguistics.eu/index.php/biolinguistics/about/submissions#authorGuidelines;;;;;;;;http://www.biolinguistics.eu/index.php/biolinguistics/about/editorialPolicies#archiving;Yes;;;;PDF;http://www.biolinguistics.eu/index.php/biolinguistics/about/editorialTeam;Double blind peer review;http://www.biolinguistics.eu/index.php/biolinguistics/about/editorialPolicies#peerReviewProcess;http://www.biolinguistics.eu/index.php/biolinguistics/about/editorialPolicies#focusAndScope;http://www.biolinguistics.eu/index.php/biolinguistics/about/submissions#authorGuidelines;;;12;http://www.biolinguistics.eu/index.php/biolinguistics/about/editorialPolicies#openAccessPolicy;;;CC BY;;http://www.biolinguistics.eu/index.php/biolinguistics/about/submissions#copyrightNotice;Yes;;True;http://www.biolinguistics.eu/index.php/biolinguistics/about/submissions#copyrightNotice;True;http://www.biolinguistics.eu/index.php/biolinguistics/about/submissions#copyrightNotice;No;Yes;2009-09-08T16:20:23Z;Language and Literature: Philology. Linguistics;309;2018-12-31T15:59:08Z
Bulletin of Integrative Psychiatry ;http://dev.buletindepsihiatrie.ro/;2014;Buletin de Psihiatrie Integrativă;Romania;English, Romanian, Moldavian, Moldovan;psychiatry, health, psychology, cognitive sciences, social sciences, medicine;1453-7257;;Sedcom Libris;Clinical Hospital of Psychiatry Socola Iasi;;No;http://dev.buletindepsihiatrie.ro/for-authors/;;;;http://dev.buletindepsihiatrie.ro/for-authors/;;;;;;;;http://www.buletindepsihiatrie.ro;;;;;PDF;http://dev.buletindepsihiatrie.ro/advisory-board/;Peer review;http://dev.buletindepsihiatrie.ro/review/;http://dev.buletindepsihiatrie.ro/;http://dev.buletindepsihiatrie.ro/for-authors/;;;12;http://dev.buletindepsihiatrie.ro/for-authors/;;http://www.buletindepsihiatrie.ro;CC BY;;http://dev.buletindepsihiatrie.ro/for-authors/;Yes;;False;;False;;No;Yes;2015-08-10T17:17:27Z;Medicine: Internal medicine: Neurosciences. Biological psychiatry. Neuropsychiatry: Neurology. Diseases of the nervous system: Psychiatry;0;
Romanian Journal of Applied Psychology;http://www.rjap.psihologietm.ro/;2009;;Romania;English, Romanian, Moldavian, Moldovan;organizational psychology, industrial psychology, cross-cultural, occupational health, developmental psychology;1454-8062;;West University of Timisoara;Euroregional Center for Applied Psychology;West University of Timisoara;No;http://www.rjap.psihologietm.ro/index.html;;;;http://www.rjap.psihologietm.ro/index.html;;;;;;;;;Yes;;;;PDF;http://www.rjap.psihologietm.ro/editor.html;Peer review;http://www.rjap.psihologietm.ro/submission.html;http://www.rjap.psihologietm.ro/index.html;http://www.rjap.psihologietm.ro/submission.html;Yes;http://www.rjap.psihologietm.ro/submission.html;10;http://www.rjap.psihologietm.ro/index.html;;;CC BY;;http://www.rjap.psihologietm.ro/;Yes;;False;;False;;No;Yes;2013-03-28T16:09:31Z;Philosophy. Psychology. Religion: Psychology;89;2019-01-03T14:53:53Z
International Journal of Neuropsychopharmacology;https://academic.oup.com/ijnp;2015;;United Kingdom;English;neuropsychopharmacology, neuroimaging, neuropsychology, psychiatry, pharmacology, psychoneuroendocrinology;1461-1457;1469-5111;Oxford University Press;Collegium Internationale Neuro-Psychopharmacologicum (CINP);Oxford Academic;Yes;https://academic.oup.com/ijnp/pages/general_instructions#Open%20access;1400;GBP - Pound Sterling;;https://academic.oup.com/ijnp/pages/general_instructions#Open%20access;;;Yes;https://academic.oup.com/ijnp/pages/general_instructions#Open%20access;LOCKSS, CLOCKSS, Portico, PMC/Europe PMC/PMC Canada;British Library;;https://academic.oup.com/journals/pages/librarians/librarian_faqs/digital_preservation;Yes;DOI;Yes;https://academic.oup.com/ijnp/article/20/1/1/2528217/Making-Sense-of-Sensitization-in-Schizophrenia;PDF, HTML;https://academic.oup.com/ijnp/pages/Editorial_Board;Blind peer review;https://academic.oup.com/ijnp/pages/general_instructions;https://academic.oup.com/ijnp/pages/About;https://academic.oup.com/ijnp/pages/general_instructions;;;12;https://academic.oup.com/ijnp/pages/general_instructions#Open%20access;Yes;https://academic.oup.com/ijnp/article/20/1/1/2528217/Making-Sense-of-Sensitization-in-Schizophrenia;CC BY-NC;;https://academic.oup.com/ijnp/pages/general_instructions#Open%20access;Yes;Sherpa/Romeo;False;;False;;No;Yes;2016-08-09T10:50:57Z;Medicine: Therapeutics. Pharmacology | Medicine: Internal medicine: Neurosciences. Biological psychiatry. Neuropsychiatry;0;
Evolutionary Psychology;http://evp.sagepub.com/;2003;;United States;English;psychology, behaviour;;1474-7049;SAGE Publishing;;Atypon;Yes;https://us.sagepub.com/en-us/nam/evolutionary-psychology/journal202456#submission-guidelines;195;USD - US Dollar;;https://us.sagepub.com/en-us/nam/evolutionary-psychology/journal202456#submission-guidelines;;;Yes;https://us.sagepub.com/en-us/nam/gold-open-access-article-processing-charge-waivers;LOCKSS, CLOCKSS, Portico;British Library;;http://www.clockss.org/clockss/Participating_Publishers;;DOI;;;PDF, HTML;https://us.sagepub.com/en-us/nam/evolutionary-psychology/journal202456#editorial-board;Double blind peer review;https://us.sagepub.com/en-us/nam/evolutionary-psychology/journal202456#submission-guidelines;https://us.sagepub.com/en-us/nam/evolutionary-psychology/journal202456#aims-and-scope;https://us.sagepub.com/en-us/nam/evolutionary-psychology/journal202456#submission-guidelines;Yes;https://us.sagepub.com/en-us/nam/evolutionary-psychology/journal202456#submission-guidelines;12;https://uk.sagepub.com/en-gb/eur/evolutionary-psychology/journal202456#submission-guidelines;Yes;http://evp.sagepub.com/content/13/3/1474704915594959.full;CC BY-NC;;https://us.sagepub.com/en-us/nam/evolutionary-psychology/journal202456#submission-guidelines;Yes;;False;;False;;No;Yes;2003-09-16T00:00:00Z;Philosophy. Psychology. Religion: Psychology;735;2017-05-18T16:04:54Z
Psicodebate;http://www.palermo.edu/cienciassociales/investigacion-y-publicaciones/revista-psicodebate/index.html;2001;Revista Psicodebate: Psicología, Cultura y Sociedad;Argentina;English, Portuguese, Spanish, Castilian;psychology, social, human, science;1515-2251;2451-6600;Universidad de Palermo;Universidad de Palermo, Facultad de Ciencias Sociales;OJS;No;https://dspace.palermo.edu/ojs/index.php/psicodebate/about/editorialPolicies#custom-1;;;;https://dspace.palermo.edu/ojs/index.php/psicodebate/about/editorialPolicies#custom-1;;;;;;;;;Yes;DOI;;;PDF;https://dspace.palermo.edu/ojs/index.php/psicodebate/about/displayMembership/15;Peer review;https://dspace.palermo.edu/ojs/index.php/psicodebate/about/editorialPolicies#peerReviewProcess;https://dspace.palermo.edu/ojs/index.php/psicodebate/about/editorialPolicies#focusAndScope;https://dspace.palermo.edu/ojs/index.php/psicodebate/about/submissions#authorGuidelines;;;24;https://dspace.palermo.edu/ojs/index.php/psicodebate/about/editorialPolicies#openAccessPolicy;Yes;https://dspace.palermo.edu/ojs/index.php/psicodebate/article/view/481;CC BY;;https://dspace.palermo.edu/ojs/index.php/psicodebate/about/submissions#copyrightNotice;Yes;;False;;False;;No;Yes;2016-05-17T14:09:32Z;Philosophy. Psychology. Religion: Psychology;154;2016-05-19T20:30:24Z
Temas em Educação e Saúde;http://seer.fclar.unesp.br/tes/index;1999;;Brazil;English, Portuguese, Spanish, Castilian;education, teacher's formation, psychology;1517-7947;2526-3471;Universidade Estadual Paulista, Faculdade de Ciências e Letras de Araraquara;Universidade Estadual Paulista (UNESP);SEER;No;http://seer.fclar.unesp.br/tes/about/editorialPolicies#openAccessPolicy;;;;http://seer.fclar.unesp.br/tes/about/editorialPolicies#openAccessPolicy;;;;;;;;http://seer.fclar.unesp.br/tes/about/editorialPolicies#archiving;Yes;;;;PDF;http://seer.fclar.unesp.br/tes/about/editorialTeam;Peer review;http://seer.fclar.unesp.br/tes/about/editorialPolicies#peerReviewProcess;http://seer.fclar.unesp.br/tes/about/editorialPolicies#focusAndScope;http://seer.fclar.unesp.br/tes/about/submissions#authorGuidelines;;;18;http://seer.fclar.unesp.br/tes/about/editorialPolicies#openAccessPolicy;Yes;http://seer.fclar.unesp.br/tes/article/view/9618;CC BY-NC-SA;;http://seer.fclar.unesp.br/tes/index;Yes;;False;;False;;No;Yes;2017-11-02T16:56:12Z;Education: Special aspects of education | Medicine: Public aspects of medicine;201;2019-01-05T17:27:23Z
Revista Diálogo;http://revistas.unilasalle.edu.br/index.php/Dialogo;2009;Diálogo;Brazil;English, Portuguese, Spanish, Castilian;social psychology, management, culture, education, social science;1519-3640;2238-9024;Centro Universitário La Salle;Centro Universitário La Salle Canoas;OJS;No;http://revistas.unilasalle.edu.br/index.php/Dialogo/about/editorialPolicies#focusAndScope;;;;http://revistas.unilasalle.edu.br/index.php/Dialogo/about/editorialPolicies#focusAndScope;;;;;;;;;Yes;;;;PDF;http://revistas.unilasalle.edu.br/index.php/Dialogo/about/editorialTeam;Double blind peer review;http://revistas.unilasalle.edu.br/index.php/Dialogo/about/editorialPolicies#peerReviewProcess;http://revistas.unilasalle.edu.br/index.php/Dialogo/about/editorialPolicies#focusAndScope;http://revistas.unilasalle.edu.br/index.php/Dialogo/about/submissions#authorGuidelines;;;26;http://revistas.unilasalle.edu.br/index.php/Dialogo/about/editorialPolicies#openAccessPolicy;;http://revistas.unilasalle.edu.br/index.php/Dialogo/article/view/1478;CC BY-NC-ND;;http://revistas.unilasalle.edu.br/index.php/Dialogo/about/submissions#copyrightNotice;Yes;Diadorim;True;http://revistas.unilasalle.edu.br/index.php/Dialogo/about/submissions#copyrightNotice;False;http://revistas.unilasalle.edu.br/index.php/Dialogo/about/submissions#copyrightNotice;No;Yes;2015-05-15T12:44:44Z;Social Sciences: Social sciences (General);0;
Practical Assessment, Research & Evaluation;http://pareonline.net/;1988;;United States;English;psychology, psychometrics, research methods, statistical methods;;1531-7714;Practical Assessment, Research & Evaluation;;Practical Assessment, Research & Evaluation;No;http://pareonline.net/Policies.htm;;;;http://pareonline.net/Policies.htm;;;;;;;;http://pareonline.net/;Yes;;Yes;http://pareonline.net/genpare.asp;PDF;http://pareonline.net/;Editorial review;http://pareonline.net/Review.htm;http://pareonline.net/Policies.htm;http://pareonline.net/Review.htm;;;6;http://pareonline.net/Policies.htm;;;CC BY-NC-ND;;http://pareonline.net/Policies.htm;Yes;;True;http://pareonline.net/Policies.htm;True;http://pareonline.net/Policies.htm;No;Yes;2004-01-07T00:00:00Z;Education: Theory and practice of education;337;2016-12-30T15:00:11Z
Integrative Cancer Therapies;http://ict.sagepub.com/;2002;;United States;English;health psychology, oncology, integrative care, cancer, alternative medicine, complementary medicine;1534-7354;1552-695X;SAGE Publishing;;Atypon;Yes;https://us.sagepub.com/en-us/nam/integrative-cancer-therapies/journal201510#submission-guidelines;1350;USD - US Dollar;;https://us.sagepub.com/en-us/nam/integrative-cancer-therapies/journal201510#submission-guidelines;;;Yes;https://us.sagepub.com/en-us/nam/gold-open-access-article-processing-charge-waivers;LOCKSS, CLOCKSS, Portico;Koninklijke Bibliotheek;;https://clockss.org/clockss/Participating_Publishers;;DOI;;;PDF, HTML;https://us.sagepub.com/en-us/nam/integrative-cancer-therapies/journal201510#editorial-board;Blind peer review;https://mc.manuscriptcentral.com/societyimages/ict/ICT_Guidelines.pdf;https://us.sagepub.com/en-us/nam/integrative-cancer-therapies/journal201510#aims-and-scope;https://mc.manuscriptcentral.com/societyimages/ict/ICT_Guidelines.pdf;Yes;https://mc.manuscriptcentral.com/societyimages/ict/ICT_Guidelines.pdf;15;https://us.sagepub.com/en-us/nam/integrative-cancer-therapies/journal201510#description;Yes;http://ict.sagepub.com/content/15/3/250.abstract;CC BY-NC;;https://mc.manuscriptcentral.com/societyimages/ict/ICT_Guidelines.pdf;Yes;Sherpa/Romeo;False;;False;;No;Yes;2016-12-06T15:41:08Z;Medicine: Internal medicine: Neoplasms. Tumors. Oncology. Including cancer and carcinogens;0;
